verb,count_hai,count_total,unigram_rate
มอบ,364,1828,19.912472647702405
คืน,155,819,18.925518925518926
สร้าง,3087,19552,15.788666121112929
ส่งมอบ,46,318,14.465408805031446
จ่าย,348,3492,9.965635738831615
บริจาค,39,427,9.133489461358314
จัดสรร,66,731,9.028727770177838
เพิ่ม,515,6582,7.824369492555454
เติม,70,929,7.534983853606028
โอน,88,1173,7.502131287297528
ปรับปรุง,97,1395,6.953405017921146
เสริมสร้าง,34,497,6.841046277665996
จัดหา,45,771,5.836575875486381
รีบ,33,582,5.670103092783505
บังคับ,41,727,5.639614855570839
เสริม,86,1563,5.502239283429303
ส่ง,653,11871,5.500800269564484
กระจาย,44,831,5.294825511432009
ออกแบบ,57,1084,5.258302583025831
นำมา,76,1527,4.9770792403405375
อนุมัติ,33,668,4.940119760479042
เปิด,431,8772,4.913360693114456
เสนอ,176,3672,4.793028322440087
แจ้ง,113,2398,4.712260216847373
เร่ง,55,1197,4.594820384294068
ปรับ,172,3816,4.5073375262054505
กระตุ้น,52,1209,4.301075268817205
ฝาก,33,770,4.285714285714286
ยก,100,2336,4.280821917808219
แก้ไข,91,2157,4.218822438572091
ยื่น,86,2076,4.142581888246628
สอน,51,1261,4.044409199048374
แก้,74,1837,4.028307022318998
วาง,82,2067,3.967102080309628
พยายาม,57,1437,3.966597077244259
รายงาน,37,1009,3.6669970267591676
ดูแล,216,6148,3.513337670787248
ดึง,34,974,3.4907597535934287
พัฒนา,242,6952,3.481012658227848
ทำ,878,25502,3.442867226099914
ฝึก,32,981,3.2619775739041796
เตรียม,114,3518,3.2404775440591247
บอก,71,2250,3.155555555555556
ชี้,35,1122,3.119429590017825
เสีย,57,1854,3.074433656957929
ระบาย,38,1241,3.0620467365028206
แบ่ง,43,1435,2.996515679442509
ขาย,122,4168,2.927063339731286
สั่ง,46,1591,2.8912633563796355
กำหนด,158,5530,2.857142857142857
เขียน,46,1622,2.8360049321824907
ปล่อย,35,1252,2.7955271565495208
จัด,254,9326,2.723568518121381
เปลี่ยน,81,3027,2.6759167492566895
ผลิต,56,2196,2.5500910746812386
ควบคุม,82,3394,2.4160282852091925
เป็นการ,38,1580,2.4050632911392404
ขยาย,66,2805,2.3529411764705883
หา,170,7857,2.1636757031946035
พร้อม,219,10251,2.1363769388352356
ประสาน,37,1788,2.069351230425056
รวบรวม,46,2316,1.9861830742659756
ขับเคลื่อน,50,2585,1.9342359767891684
ขอ,81,4317,1.8763029881862403
ประกาศ,39,2145,1.8181818181818181
ส่งเสริม,81,4485,1.8060200668896322
แสดง,100,5816,1.71939477303989
ดำเนิน,61,3602,1.693503609106052
สนับสนุน,75,4494,1.6688918558077435
จำหน่าย,31,1883,1.6463090812533192
ออก,52,3221,1.614405464141571
ได้รับ,383,23733,1.6137867104875068
ศึกษา,32,2006,1.5952143569292123
อ่าน,31,1955,1.5856777493606138
จัดทำ,42,2656,1.5813253012048192
จัดการ,49,3152,1.5545685279187818
ซื้อ,89,5737,1.5513334495380862
พิจารณา,43,2795,1.5384615384615385
เผยแพร่,33,2168,1.522140221402214
ช่วย,41,2706,1.5151515151515151
เรียก,43,2892,1.48686030428769
ลด,98,6834,1.434006438396254
รักษา,104,7521,1.3827948411115543
ใส่,56,4080,1.3725490196078431
เป็น,1993,163724,1.2172925166744033
เก็บ,59,4905,1.202854230377166
กลายเป็น,45,3761,1.1964902951342729
รวมถึง,79,6742,1.1717591219222783
ยังมี,57,5018,1.1359107214029494
ลง,53,4722,1.1224057602710715
ช่วยเหลือ,31,2864,1.0824022346368716
มี,2357,229227,1.0282383837855051
ประกอบ,37,3610,1.0249307479224377
คือ,163,17713,0.9202280810704002
ปลูก,33,3686,0.8952794357026587
ใช้,316,36657,0.8620454483454729
เล่น,41,5368,0.763785394932936
ตั้ง,48,6402,0.7497656982193065
ตรวจสอบ,70,9695,0.7220216606498195
ร่วม,31,4666,0.6643806258036862
ผ่าน,92,14536,0.6329113924050633
เอา,38,6901,0.5506448340820171
ดู,35,6728,0.5202140309155767
ใช่,36,8068,0.44620723847297966
เข้า,37,9846,0.37578712167377615
รับ,47,15070,0.311877903118779
นำ,62,20958,0.29582975474759043
ให้,45,16230,0.27726432532347506
เกิด,45,18776,0.23966766084363017
